toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,362.4,Multiple epitopes,SYN_TOX_KSPI_187,SYN_MAB_139_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,12.12,CDR-H3,XP_070812689.1,9CU5_J,real
Snake Venom Serine Protease,Mixed,1.93,CDR-H3,Q27J47.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,1.43,CDR-H3,O42138.1,9CU6_G,real
Cysteine-Rich Secretory Protein,Linear,4.96,CDR-H3,XP_026547749.1,8SXP_L,real
Snake Venom Metalloproteinase,Linear,17.22,CDR-H3,J9Z332.1,9MI0_N,real
Three-Finger Toxin,Broad-spectrum,348.4,Multiple epitopes,SYN_TOX_3FTx_108,SYN_MAB_98_H,synthetic
Snake Venom Serine Protease,Conformational,7.34,Multiple CDRs,Q9I8X1.2,8SXP_H,real
Cysteine-Rich Secretory Protein,Specific,13.1,Ion Channel Binding Region,SYN_TOX_CRISP_35,SYN_MAB_49_H,synthetic
Snake Venom Serine Protease,Linear,3.49,CDR-H3,E5L0E6.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Specific,4.8,CAP Domain,SYN_TOX_CRISP_21,SYN_MAB_32_H,synthetic
Cysteine-Rich Secretory Protein,Broad-spectrum,326.0,Multiple epitopes,SYN_TOX_CRISP_35,SYN_MAB_81_H,synthetic
Snake Venom Metalloproteinase,Mixed,5.71,Multiple CDRs,J3SDW8.1,P00740.2,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,69.8,Multiple epitopes,SYN_TOX_KSPI_54,SYN_MAB_134_H,synthetic
Snake Venom Serine Protease,Mixed,4.05,Multiple CDRs,P81824.2,1CDS_A,real
Disintegrin,Conformational,1.37,Multiple CDRs,AAB27210.1,NP_000602.1,real
Snake Venom Serine Protease,Conformational,44.36,Multiple CDRs,P0CG03.1,6IOM_B,real
Kunitz-type Serine Protease Inhibitor,Mixed,9.3,CDR-H3,AEI52542.1,8SXP_L,real
Snake Venom Serine Protease,Mixed,54.75,CDR-H3,P0CG03.1,6IOM_A,real
Snake Venom Metalloproteinase,Linear,8.8,Multiple CDRs,U3KRG1.1,8U9Y_M,real
Snake Venom Serine Protease,Linear,57.07,CDR-H3,P0DJF5.1,NP_000602.1,real
Snake Venom Metalloproteinase,Conformational,7.58,Multiple CDRs,P0DM87.1,6IOM_B,real
Phospholipase A2,Broad-spectrum,291.6,Multiple epitopes,SYN_TOX_PLA2_141,SYN_MAB_109_H,synthetic
Phospholipase A2,Linear,34.12,CDR-H3,AAB20783.1,9CLP_C,real
Snake Venom Serine Protease,Broad-spectrum,210.6,Multiple epitopes,SYN_TOX_SVSP_18,SYN_MAB_17_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,8.23,Multiple CDRs,KAG8124478.1,4V1D_B,real
Snake Venom Metalloproteinase,Conformational,7.76,CDR-H3,Q5XUW8.1,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Linear,20.74,CDR-H3,AAP20603.1,9CLP_L,real
Snake Venom Metalloproteinase,Mixed,6.67,CDR-H3,O42138.1,1CDR_A,real
Snake Venom Metalloproteinase,Linear,6.04,CDR-H3,J3SDW8.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,1.38,CDR-H3,Q2PQJ3.1,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,18.99,CDR-H3,F8RKW1.1,4V1D_E,real
Phospholipase A2,Mixed,9.85,Multiple CDRs,AAB33760.1,6IOM_B,real
Snake Venom Metalloproteinase,Linear,5.49,CDR-H3,P0DM89.1,6IOM_A,real
Snake Venom Serine Protease,Linear,11.42,Multiple CDRs,Q2PQJ3.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Linear,5.94,Multiple CDRs,XP_026568634.1,6ION_A,real
Snake Venom Serine Protease,Mixed,6.91,Multiple CDRs,E0Y419.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Broad-spectrum,205.6,Multiple epitopes,SYN_TOX_CRISP_196,SYN_MAB_18_H,synthetic
Snake Venom Metalloproteinase,Mixed,1.17,CDR-H3,A8QL59.1,NP_000602.1,real
Snake Venom Serine Protease,Conformational,4.2,CDR-H3,B0ZT25.1,6IOM_A,real
Snake Venom Serine Protease,Conformational,14.53,Multiple CDRs,B0FXM1.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,20.15,Multiple CDRs,C0HM67.1,9CLP_L,real
Snake Venom Metalloproteinase,Linear,14.08,CDR-H3,C0L2T8.1,9MI0_P,real
Phospholipase A2,Linear,6.03,CDR-H3,AAB25792.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,6.56,Multiple CDRs,XP_032069584.1,P00740.2,real
Snake Venom Metalloproteinase,Broad-spectrum,150.2,Multiple epitopes,SYN_TOX_SVMP_191,SYN_MAB_17_H,synthetic
Snake Venom Metalloproteinase,Mixed,13.48,Multiple CDRs,J3S829.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,1.16,Multiple CDRs,P0C7A9.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Mixed,10.92,Multiple CDRs,XP_026568636.1,6IOM_A,real
Snake Venom Serine Protease,Specific,11.1,Substrate Binding Site,SYN_TOX_SVSP_4,SYN_MAB_103_H,synthetic
Snake Venom Serine Protease,Conformational,26.14,CDR-H3,E0Y421.1,9CLP_H,real
Disintegrin,Mixed,100.56,Multiple CDRs,AAB27210.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,2.63,CDR-H3,P14530.3,4V1D_D,real
Snake Venom Metalloproteinase,Mixed,14.94,CDR-H3,Q90ZI3.1,NP_001265042.1,real
Snake Venom Serine Protease,Conformational,2.46,Multiple CDRs,D8MIA2.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Conformational,8.52,Multiple CDRs,XP_039190751.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,6.86,Multiple CDRs,J3SDW8.1,P13987.1,real
Three-Finger Toxin,Broad-spectrum,208.7,Multiple epitopes,SYN_TOX_3FTx_94,SYN_MAB_81_H,synthetic
Snake Venom Metalloproteinase,Mixed,6.62,CDR-H3,C0HM67.1,9CLP_C,real
Phospholipase A2,Mixed,3.66,Multiple CDRs,XCA51370.1,9CU5_G,real
Cysteine-Rich Secretory Protein,Mixed,1.49,Multiple CDRs,BAP39957.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Broad-spectrum,273.6,Multiple epitopes,SYN_TOX_CRISP_189,SYN_MAB_120_H,synthetic
Disintegrin,Conformational,4.12,Multiple CDRs,AAB22478.1,NP_000602.1,real
Snake Venom Serine Protease,Conformational,3.58,Multiple CDRs,P0DJF5.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,2.27,Multiple CDRs,P0DL29.1,NP_000602.1,real
Disintegrin,Linear,7.87,Multiple CDRs,ABD34835.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Conformational,3.74,Multiple CDRs,AAL54918.1,1CDS_A,real
Disintegrin,Specific,20.6,RGD Motif,SYN_TOX_DIS_146,SYN_MAB_24_H,synthetic
Snake Venom Metalloproteinase,Conformational,4.48,CDR-H3,C0HM67.1,8SXP_H,real
Snake Venom Serine Protease,Linear,9.24,CDR-H3,P0CG03.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Linear,1.17,CDR-H3,XP_070812678.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Broad-spectrum,139.4,Multiple epitopes,SYN_TOX_CRISP_182,SYN_MAB_91_H,synthetic
Snake Venom Metalloproteinase,Mixed,13.72,Multiple CDRs,Q2EI26.1,6IOM_A,real
Phospholipase A2,Linear,0.92,CDR-H3,AAB33760.1,9MIA_L,real
Cysteine-Rich Secretory Protein,Linear,9.31,CDR-H3,XP_039190751.1,1CDS_A,real
Snake Venom Metalloproteinase,Conformational,4.81,Multiple CDRs,A2TK72.1,8SXP_H,real
Snake Venom Metalloproteinase,Linear,10.68,CDR-H3,A2TK72.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,6.78,Multiple CDRs,P82942.1,1CDR_A,real
Phospholipase A2,Linear,11.06,Multiple CDRs,AAB26654.1,1CDR_A,real
Disintegrin,Broad-spectrum,311.8,Multiple epitopes,SYN_TOX_DIS_146,SYN_MAB_117_H,synthetic
Snake Venom Metalloproteinase,Mixed,27.92,CDR-H3,U3KRG1.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Conformational,2.66,CDR-H3,U5PZ28.1,8SXP_H,real
Snake Venom Metalloproteinase,Mixed,21.81,Multiple CDRs,F8RKW0.1,1CDQ_A,real
Snake Venom Metalloproteinase,Conformational,8.01,Multiple CDRs,P0DQT6.1,9CLP_C,real
Disintegrin,Specific,14.9,C-terminal Region,SYN_TOX_DIS_181,SYN_MAB_6_H,synthetic
Phospholipase A2,Linear,10.36,CDR-H3,XCA51265.1,9CU5_J,real
Cysteine-Rich Secretory Protein,Conformational,3.88,CDR-H3,XP_070812678.1,6ION_A,real
Cysteine-Rich Secretory Protein,Linear,5.43,Multiple CDRs,AAP20603.1,9MIA_P,real
Cysteine-Rich Secretory Protein,Linear,7.61,CDR-H3,XP_070812678.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,2.23,Multiple CDRs,Q072L6.1,9CLP_L,real
Snake Venom Serine Protease,Linear,9.88,Multiple CDRs,Q8UUJ1.2,9MI0_H,real
Cysteine-Rich Secretory Protein,Conformational,4.82,Multiple CDRs,XP_034288380.1,9MI0_H,real
Snake Venom Metalloproteinase,Conformational,11.99,Multiple CDRs,F8S108.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Conformational,5.23,CDR-H3,XP_039190748.1,P13987.1,real
Phospholipase A2,Conformational,3.88,CDR-H3,AAB33759.1,9CLP_L,real
Phospholipase A2,Linear,32.55,Multiple CDRs,AAB36471.1,P00740.2,real
Snake Venom Metalloproteinase,Broad-spectrum,114.4,Multiple epitopes,SYN_TOX_SVMP_44,SYN_MAB_33_H,synthetic
Snake Venom Serine Protease,Linear,10.58,Multiple CDRs,Q9YGJ9.1,8SXP_L,real
Phospholipase A2,Specific,19.9,Calcium Binding Loop,SYN_TOX_PLA2_148,SYN_MAB_21_H,synthetic
Snake Venom Metalloproteinase,Conformational,8.34,CDR-H3,Q90ZI3.1,P13987.1,real
Phospholipase A2,Broad-spectrum,131.0,Multiple epitopes,SYN_TOX_PLA2_36,SYN_MAB_115_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,19.16,CDR-H3,XP_026546646.1,6IOM_A,real
Snake Venom Metalloproteinase,Linear,12.64,CDR-H3,Q0NZX6.1,9CLP_C,real
Snake Venom Serine Protease,Mixed,17.24,Multiple CDRs,E5L0E6.1,8TO9_J,real
Snake Venom Metalloproteinase,Mixed,20.78,CDR-H3,A8QL59.1,8TO9_C,real
Snake Venom Serine Protease,Mixed,26.38,CDR-H3,C0HK19.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Linear,27.64,Multiple CDRs,XP_039190751.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,4.13,CDR-H3,C0HLA3.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Mixed,16.56,CDR-H3,XP_034288380.1,6IOM_A,real
Phospholipase A2,Broad-spectrum,223.9,Multiple epitopes,SYN_TOX_PLA2_134,SYN_MAB_134_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,4.2,CDR-H3,6IMF_A,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,22.85,CDR-H3,J3SBP9.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,9.69,Multiple CDRs,P0C7A9.1,6ION_A,real
Snake Venom Serine Protease,Linear,28.03,Multiple CDRs,C0HK19.1,6IOM_A,real
Snake Venom Serine Protease,Conformational,26.06,CDR-H3,A8QL57.1,6IOM_B,real
Phospholipase A2,Mixed,6.56,Multiple CDRs,AAB20783.1,4V1D_B,real
Snake Venom Metalloproteinase,Mixed,4.7,Multiple CDRs,O42138.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,14.7,Multiple CDRs,XP_026547749.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Specific,36.9,CAP Domain,SYN_TOX_CRISP_35,SYN_MAB_57_H,synthetic
Disintegrin,Broad-spectrum,344.9,Multiple epitopes,SYN_TOX_DIS_188,SYN_MAB_134_H,synthetic
Snake Venom Serine Protease,Conformational,6.72,Multiple CDRs,A7LAC7.1,8SXP_L,real
Snake Venom Metalloproteinase,Mixed,1.62,CDR-H3,J3S829.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,2.63,Multiple CDRs,XP_039185515.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,7.11,Multiple CDRs,AAP20603.1,9MIH_L,real
Snake Venom Serine Protease,Mixed,5.22,Multiple CDRs,P85109.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Broad-spectrum,310.1,Multiple epitopes,SYN_TOX_CRISP_7,SYN_MAB_12_H,synthetic
Snake Venom Serine Protease,Linear,9.28,CDR-H3,A8QL57.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,6.46,CDR-H3,Q698K8.3,P00740.2,real
Phospholipase A2,Conformational,22.5,CDR-H3,AAB36472.1,9B7V_H,real
Cysteine-Rich Secretory Protein,Conformational,2.97,Multiple CDRs,XP_015678374.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,2.78,CDR-H3,A3R0T9.1,6IOM_B,real
Phospholipase A2,Linear,19.14,Multiple CDRs,XCA51265.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,34.33,Multiple CDRs,XP_070812689.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Conformational,11.94,CDR-H3,KAG8124478.1,4V1D_A,real
Snake Venom Serine Protease,Mixed,2.76,CDR-H3,Q9YGJ9.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,16.93,CDR-H3,E5L0E3.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Specific,4.2,Ion Channel Binding Region,SYN_TOX_CRISP_154,SYN_MAB_34_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,10.54,CDR-H3,KAG8124481.1,Q9HCN6.4,real
Phospholipase A2,Specific,14.1,Hydrophobic Channel,SYN_TOX_PLA2_92,SYN_MAB_50_H,synthetic
Phospholipase A2,Specific,17.2,Hydrophobic Channel,SYN_TOX_PLA2_43,SYN_MAB_51_H,synthetic
Snake Venom Metalloproteinase,Linear,10.39,Multiple CDRs,J3S830.1,NP_001265042.1,real
Snake Venom Serine Protease,Linear,2.48,Multiple CDRs,P0DL27.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,4.11,CDR-H3,P0DM89.1,9B7R_L,real
Snake Venom Metalloproteinase,Mixed,5.19,Multiple CDRs,O42138.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Conformational,15.7,Multiple CDRs,AAL54918.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Conformational,2.24,Multiple CDRs,XP_026547749.1,8SXP_H,real
Disintegrin,Mixed,11.91,CDR-H3,AAB22478.1,9CLP_L,real
Phospholipase A2,Linear,18.62,CDR-H3,AAB24834.1,4V1D_D,real
Snake Venom Serine Protease,Conformational,18.77,Multiple CDRs,Q6T5L0.2,8SXP_H,real
Snake Venom Serine Protease,Mixed,10.87,CDR-H3,D8MIA1.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,10.93,Multiple CDRs,P0DL29.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Linear,3.11,CDR-H3,KAG8124478.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Conformational,5.06,Multiple CDRs,J3S829.1,NP_001455.3,real
Cysteine-Rich Secretory Protein,Mixed,14.61,CDR-H3,XP_026568634.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,11.11,Multiple CDRs,E0Y420.1,Q9HCN6.4,real
Disintegrin,Specific,14.8,RGD Motif,SYN_TOX_DIS_27,SYN_MAB_94_H,synthetic
Phospholipase A2,Conformational,8.05,CDR-H3,AAB26654.1,8SXP_H,real
Snake Venom Metalloproteinase,Broad-spectrum,272.5,Multiple epitopes,SYN_TOX_SVMP_72,SYN_MAB_18_H,synthetic
Phospholipase A2,Conformational,0.8,Multiple CDRs,AAB33760.1,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,8.64,CDR-H3,C0L2T8.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Linear,4.79,Multiple CDRs,XP_026547749.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Linear,13.04,CDR-H3,XP_026547749.1,8U9Y_N,real
Phospholipase A2,Specific,29.8,Enzymatic Site,SYN_TOX_PLA2_78,SYN_MAB_7_H,synthetic
Disintegrin,Conformational,12.52,Multiple CDRs,AAB22477.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Mixed,9.84,CDR-H3,XP_015678374.1,9CLP_C,real
Phospholipase A2,Conformational,23.59,CDR-H3,AAB25792.1,9CU6_G,real
Snake Venom Metalloproteinase,Specific,21.1,Catalytic Domain,SYN_TOX_SVMP_93,SYN_MAB_80_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,4.18,CDR-H3,AAL54896.1,6IOM_A,real
Snake Venom Serine Protease,Linear,2.0,CDR-H3,P0DJF6.1,4V1D_E,real
Disintegrin,Conformational,14.81,Multiple CDRs,AAB27210.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,11.14,Multiple CDRs,P0DL29.1,9CU6_D,real
Disintegrin,Conformational,5.14,Multiple CDRs,AAB22477.1,9MIB_P,real
Snake Venom Serine Protease,Conformational,3.95,Multiple CDRs,E0Y419.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Conformational,1.74,CDR-H3,XP_026568633.1,9MIB_K,real
Cysteine-Rich Secretory Protein,Specific,18.2,Ion Channel Binding Region,SYN_TOX_CRISP_98,SYN_MAB_34_H,synthetic
Snake Venom Metalloproteinase,Broad-spectrum,31.3,Multiple epitopes,SYN_TOX_SVMP_142,SYN_MAB_33_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,4.17,Multiple CDRs,KAG8124478.1,P00740.2,real
Phospholipase A2,Broad-spectrum,276.0,Multiple epitopes,SYN_TOX_PLA2_15,SYN_MAB_104_H,synthetic
Snake Venom Serine Protease,Linear,11.51,Multiple CDRs,Q27J47.1,9B7V_L,real
Snake Venom Metalloproteinase,Conformational,25.33,Multiple CDRs,Q2EI26.1,NP_001424713.1,real
Snake Venom Serine Protease,Mixed,11.2,CDR-H3,P84787.1,4V1D_B,real
Snake Venom Metalloproteinase,Mixed,2.38,Multiple CDRs,P17347.3,NP_001265042.1,real
Three-Finger Toxin,Broad-spectrum,142.6,Multiple epitopes,SYN_TOX_3FTx_80,SYN_MAB_119_H,synthetic
Snake Venom Metalloproteinase,Conformational,11.35,CDR-H3,V5TBK6.1,NP_001265042.1,real
Phospholipase A2,Linear,10.47,Multiple CDRs,XCA51265.1,NP_000602.1,real
Phospholipase A2,Conformational,8.27,Multiple CDRs,AAB26654.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,8.98,CDR-H3,F8RKW1.1,9CLP_C,real
Snake Venom Serine Protease,Linear,23.63,Multiple CDRs,B0FXM2.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,12.42,CDR-H3,A7LAC7.1,Q9HCN6.4,real
Phospholipase A2,Conformational,24.34,CDR-H3,AAB28455.1,1CDQ_A,real
Three-Finger Toxin,Specific,18.1,Loop I,SYN_TOX_3FTx_3,SYN_MAB_44_H,synthetic
Phospholipase A2,Broad-spectrum,110.9,Multiple epitopes,SYN_TOX_PLA2_113,SYN_MAB_33_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,16.61,CDR-H3,XP_026546646.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Conformational,8.1,CDR-H3,F8S108.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,5.36,CDR-H3,E0Y418.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,2.5,CDR-H3,J3SBP9.1,8U9Y_F,real
Snake Venom Metalloproteinase,Mixed,10.4,CDR-H3,J3SBP9.1,8TO9_C,real
Snake Venom Serine Protease,Conformational,1.52,Multiple CDRs,P81824.2,P13987.1,real
Snake Venom Metalloproteinase,Linear,56.06,Multiple CDRs,O42138.1,6IOM_A,real
Snake Venom Serine Protease,Broad-spectrum,132.2,Multiple epitopes,SYN_TOX_SVSP_137,SYN_MAB_119_H,synthetic
Snake Venom Serine Protease,Mixed,3.83,CDR-H3,P0CG03.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,5.37,CDR-H3,Q90ZI3.1,4V1D_A,real
Three-Finger Toxin,Specific,2.1,Loop II,SYN_TOX_3FTx_150,SYN_MAB_106_H,synthetic
Three-Finger Toxin,Specific,15.1,Loop II,SYN_TOX_3FTx_52,SYN_MAB_76_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,5.56,Multiple CDRs,XP_039204466.1,P00740.2,real
Phospholipase A2,Linear,4.55,CDR-H3,AAB25792.1,4V1D_B,real
Kunitz-type Serine Protease Inhibitor,Specific,2.5,Secondary Contact Site,SYN_TOX_KSPI_82,SYN_MAB_83_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,56.18,CDR-H3,AAP20603.1,P13987.1,real
Snake Venom Serine Protease,Mixed,1.79,Multiple CDRs,B0FXM2.1,9CU5_K,real
Snake Venom Metalloproteinase,Specific,5.5,Zinc Binding Site,SYN_TOX_SVMP_107,SYN_MAB_138_H,synthetic
Snake Venom Metalloproteinase,Conformational,18.85,Multiple CDRs,P0DM87.1,NP_001424713.1,real
Disintegrin,Linear,11.35,Multiple CDRs,AAB30855.1,9CLP_C,real
Snake Venom Serine Protease,Linear,3.47,Multiple CDRs,Q9PT51.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Mixed,16.38,Multiple CDRs,CAP74088.1,P13987.1,real
Snake Venom Metalloproteinase,Mixed,23.88,CDR-H3,Q698K8.3,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,10.23,CDR-H3,P0DM87.1,9MI0_L,real
Snake Venom Serine Protease,Linear,7.91,Multiple CDRs,Q5MCS0.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,17.24,CDR-H3,P0DL29.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,7.73,CDR-H3,Q072L6.1,8SXP_L,real
Snake Venom Metalloproteinase,Linear,7.02,CDR-H3,O57413.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Conformational,5.21,Multiple CDRs,XP_070588618.1,Q9HCN6.4,real
Three-Finger Toxin,Specific,0.8,Loop II,SYN_TOX_3FTx_17,SYN_MAB_54_H,synthetic
Snake Venom Metalloproteinase,Mixed,24.55,CDR-H3,C0HJU2.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Mixed,6.72,Multiple CDRs,CAP74088.1,9CU5_D,real
Three-Finger Toxin,Specific,9.9,Central Core,SYN_TOX_3FTx_192,SYN_MAB_143_H,synthetic
Disintegrin,Mixed,22.85,CDR-H3,ABD34834.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,13.03,CDR-H3,D8MIA0.1,9CU6_J,real
Snake Venom Metalloproteinase,Conformational,19.54,CDR-H3,Q5XUW8.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Mixed,0.95,CDR-H3,AAL54896.1,9CLP_C,real
Snake Venom Serine Protease,Linear,6.1,CDR-H3,Q9YGJ9.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,15.21,CDR-H3,A8QL49.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Conformational,156.9,CDR-H3,XP_013911763.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Mixed,5.61,Multiple CDRs,CAP74089.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Conformational,7.72,Multiple CDRs,XP_039190751.1,4V1D_E,real
Phospholipase A2,Linear,7.28,Multiple CDRs,AAB33760.1,9CU5_K,real
Cysteine-Rich Secretory Protein,Conformational,9.79,Multiple CDRs,XP_058038736.1,8SXP_L,real
Three-Finger Toxin,Specific,11.0,Central Core,SYN_TOX_3FTx_94,SYN_MAB_37_H,synthetic
Phospholipase A2,Mixed,47.72,CDR-H3,AAB26654.1,9MII_L,real
Snake Venom Serine Protease,Linear,12.81,Multiple CDRs,D8MIA2.1,4V1D_D,real
Snake Venom Serine Protease,Mixed,5.06,Multiple CDRs,C0HK19.1,9MIB_L,real
Disintegrin,Specific,8.9,RGD Motif,SYN_TOX_DIS_195,SYN_MAB_147_H,synthetic
Snake Venom Metalloproteinase,Specific,24.5,Substrate Recognition Site,SYN_TOX_SVMP_191,SYN_MAB_100_H,synthetic
Snake Venom Serine Protease,Mixed,3.8,CDR-H3,P0DJF6.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Mixed,31.05,Multiple CDRs,O57413.1,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,10.82,CDR-H3,F8S108.1,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Linear,5.59,Multiple CDRs,XP_026568632.1,4V1D_A,real
Snake Venom Serine Protease,Mixed,19.24,CDR-H3,P0DJF5.1,9CLP_L,real
Snake Venom Serine Protease,Linear,5.3,CDR-H3,P0DL27.1,6ION_A,real
Snake Venom Metalloproteinase,Specific,1.1,Substrate Recognition Site,SYN_TOX_SVMP_9,SYN_MAB_69_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,10.81,Multiple CDRs,AAP20602.1,9B7V_H,real
Snake Venom Metalloproteinase,Conformational,2.21,CDR-H3,A2TK72.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Mixed,55.05,Multiple CDRs,XP_026568634.1,6IOM_A,real
Snake Venom Serine Protease,Mixed,3.12,CDR-H3,D8MIA1.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Mixed,15.07,CDR-H3,XP_032069593.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,3.35,Multiple CDRs,P0DJF6.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Linear,4.62,CDR-H3,XP_039190748.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Mixed,35.6,Multiple CDRs,F8S108.1,8SXP_L,real
Snake Venom Serine Protease,Conformational,5.07,CDR-H3,B0FXM1.1,P00740.2,real
Snake Venom Metalloproteinase,Specific,0.4,Substrate Recognition Site,SYN_TOX_SVMP_58,SYN_MAB_19_H,synthetic
Disintegrin,Specific,24.9,C-terminal Region,SYN_TOX_DIS_6,SYN_MAB_137_H,synthetic
Snake Venom Metalloproteinase,Conformational,54.58,Multiple CDRs,C0HM67.1,P00740.2,real
Snake Venom Metalloproteinase,Conformational,16.38,Multiple CDRs,J3S830.1,4V1D_B,real
Snake Venom Metalloproteinase,Mixed,1.55,Multiple CDRs,Q90ZI3.1,8SXP_L,real
Snake Venom Metalloproteinase,Conformational,4.56,CDR-H3,J3SDW8.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Linear,1.93,Multiple CDRs,XP_026547749.1,P00740.2,real
Snake Venom Serine Protease,Conformational,37.66,Multiple CDRs,C0HK19.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,2.45,Multiple CDRs,Q27J47.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,7.81,CDR-H3,P18965.2,9CLP_C,real
Phospholipase A2,Mixed,5.02,Multiple CDRs,XCA51353.1,9MIB_N,real
Cysteine-Rich Secretory Protein,Conformational,3.25,Multiple CDRs,XP_026568633.1,4V1D_E,real
Snake Venom Serine Protease,Conformational,4.72,CDR-H3,A0A1I9KNP0.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Linear,8.2,Multiple CDRs,XP_026547764.1,NP_000602.1,real
